Product Name,External_ID,Product ID
"Owens Accent chair, Mod Velvet, Quartz",OLIV.FABRIC.CHAR.ACCENT.AK-618-12.Leg001-1,
"Owens Accent chair, Mod Velvet, Sapphire",OLIV.FABRIC.CHAR.ACCENT.AK-618-25.Leg001-1,
"Owens Accent chair, Pebble Weave, Dove",OLIV.FABRIC.CHAR.ACCENT.NT-3335-21.Leg001-1,
"Owens Accent chair, Pebble Weave, Zinc",OLIV.FABRIC.CHAR.ACCENT.NT-3335-22.Leg001-1,
"Owens Accent chair, Pebble Weave, Linen",OLIV.FABRIC.CHAR.ACCENT.NT-3335-1.Leg001-1,
"Owens Accent chair, Pebble Weave, Storm",OLIV.FABRIC.CHAR.ACCENT.NT-3335-204.Leg001-1,
"Owens Accent chair, Pebble Weave, Basin",OLIV.FABRIC.CHAR.ACCENT.NT-3335-312.Leg001-1,
"Owens Accent chair, Pebble Weave, Cocoa",OLIV.FABRIC.CHAR.ACCENT.NT-3335-307.Leg001-1,
"Owens Chaise, Heavy Cloth, Charcoal",OWNS.FABRIC.CHSE.CHAISE.LENGTH-60.NT-3385-96.Leg001-1,
"Owens Chaise, Heavy Cloth, Coffee",OWNS.FABRIC.CHSE.CHAISE.LENGTH-60.NT-3385-69.Leg001-1,
"Owens Chaise, Heavy Cloth, Ivory",OWNS.FABRIC.CHSE.CHAISE.LENGTH-60.NT-3385-1.Leg001-1,
"Owens Chaise, Heavy Cloth, Midnight Blue",OWNS.FABRIC.CHSE.CHAISE.LENGTH-60.NT-3385-19.Leg001-1,
"Owens Chaise, Heavy Cloth, Natural",OWNS.FABRIC.CHSE.CHAISE.LENGTH-60.NT-3385-99.Leg001-1,
"Owens Chaise, Heavy Cloth, Ore",OWNS.FABRIC.CHSE.CHAISE.LENGTH-60.NT-3385-216A.Leg001-1,
"Owens Chaise, Heavy Cloth, Panther",OWNS.FABRIC.CHSE.CHAISE.LENGTH-60.NT-3385-4.Leg001-1,
"Owens Chaise, Heavy Cloth, Slate",OWNS.FABRIC.CHSE.CHAISE.LENGTH-60.NT-3385-93.Leg001-1,
"Owens Chaise, Mod Velvet, Blush",OWNS.FABRIC.CHSE.CHAISE.LENGTH-60.AK-618-175.Leg001-1,
"Owens Chaise, Mod Velvet, Elephant",OWNS.FABRIC.CHSE.CHAISE.LENGTH-60.AK-618-18.Leg001-1,
"Owens Chaise, Mod Velvet, Greige",OWNS.FABRIC.CHSE.CHAISE.LENGTH-60.AK-618-16.Leg001-1,
"Owens Chaise, Mod Velvet, Narwhal",OWNS.FABRIC.CHSE.CHAISE.LENGTH-60.AK-618-40.Leg001-1,
"Owens Chaise, Mod Velvet, Quartz",OWNS.FABRIC.CHSE.CHAISE.LENGTH-60.AK-618-12.Leg001-1,
"Owens Chaise, Mod Velvet, Sapphire",OWNS.FABRIC.CHSE.CHAISE.LENGTH-60.AK-618-25.Leg001-1,
"Owens Chaise, Pebble Weave, Cocoa",OWNS.FABRIC.CHSE.CHAISE.LENGTH-60.NT-3335-307.Leg001-1,
"Owens Chaise, Pebble Weave, Dove",OWNS.FABRIC.CHSE.CHAISE.LENGTH-60.NT-3335-21.Leg001-1,
"Owens Chaise, Pebble Weave, Linen",OWNS.FABRIC.CHSE.CHAISE.LENGTH-60.NT-3335-1.Leg001-1,
"Owens Chaise, Pebble Weave, Storm",OWNS.FABRIC.CHSE.CHAISE.LENGTH-60.NT-3335-204.Leg001-1,
"Owens Chaise, Pebble Weave, Zinc",OWNS.FABRIC.CHSE.CHAISE.LENGTH-60.NT-3335-22.Leg001-1,
"Owens Sectional Sofa w/ Left Chaise - 106"", Mod Velvet, Elephant",OWNS.FABRIC.SECT.CSLEFT.CUSHION-2.LENGTH-106.AK-618-18.Leg001-1,
"Owens Sectional Sofa w/ Left Chaise - 106"", Mod Velvet, Narwhal",OWNS.FABRIC.SECT.CSLEFT.CUSHION-2.LENGTH-106.AK-618-40.Leg001-1,
"Owens Sectional Sofa w/ Left Chaise - 106"", Mod Velvet, Greige",OWNS.FABRIC.SECT.CSLEFT.CUSHION-2.LENGTH-106.AK-618-16.Leg001-1,
"Owens Sectional Sofa w/ Left Chaise - 106"", Mod Velvet, Blush",OWNS.FABRIC.SECT.CSLEFT.CUSHION-2.LENGTH-106.AK-618-175.Leg001-1,
"Owens Sectional Sofa w/ Left Chaise - 106"", Mod Velvet, Sapphire",OWNS.FABRIC.SECT.CSLEFT.CUSHION-2.LENGTH-106.AK-618-25.Leg001-1,
"Owens Sectional Sofa w/ Left Chaise - 106"", Mod Velvet, Quartz",OWNS.FABRIC.SECT.CSLEFT.CUSHION-2.LENGTH-106.AK-618-12.Leg001-1,
"Owens Sectional Sofa w/ Left Chaise - 106"", Pebble Weave, Dove",OWNS.FABRIC.SECT.CSLEFT.CUSHION-2.LENGTH-106.NT-3335-21.Leg001-1,
"Owens Sectional Sofa w/ Left Chaise - 106"", Pebble Weave, Linen",OWNS.FABRIC.SECT.CSLEFT.CUSHION-2.LENGTH-106.NT-3335-1.Leg001-1,
"Owens Sectional Sofa w/ Left Chaise - 106"", Pebble Weave, Zinc",OWNS.FABRIC.SECT.CSLEFT.CUSHION-2.LENGTH-106.NT-3335-22.Leg001-1,
"Owens Sectional Sofa w/ Left Chaise - 106"", Pebble Weave, Storm",OWNS.FABRIC.SECT.CSLEFT.CUSHION-2.LENGTH-106.NT-3335-204.Leg001-1,
"Owens Sectional Sofa w/ Left Chaise - 106"", Pebble Weave, Basin",OWNS.FABRIC.SECT.CSLEFT.CUSHION-2.LENGTH-106,
"Owens Sectional Sofa w/ Left Chaise - 106"", Pebble Weave, Cocoa",OWNS.FABRIC.SECT.CSLEFT.CUSHION-2.LENGTH-106.NT-3335-307.Leg001-1,
"Owens Sectional Sofa w/ Left Chaise - 106"", Heavy Cloth, Ore",OWNS.FABRIC.SECT.CSLEFT.CUSHION-2.LENGTH-106.NT-3385-216A.Leg001-1,
"Owens Sectional Sofa w/ Left Chaise - 106"", Heavy Cloth, Coffee",OWNS.FABRIC.SECT.CSLEFT.CUSHION-2.LENGTH-106.NT-3385-69.Leg001-1,
"Owens Sectional Sofa w/ Left Chaise - 106"", Heavy Cloth, Panther",OWNS.FABRIC.SECT.CSLEFT.CUSHION-2.LENGTH-106.NT-3385-4.Leg001-1,
"Owens Sectional Sofa w/ Left Chaise - 106"", Heavy Cloth, Natural",OWNS.FABRIC.SECT.CSLEFT.CUSHION-2.LENGTH-106.NT-3385-99.Leg001-1,
